"Genres","Title","Year","Votes","Rating"
"Animation,Short","Signed, Sealed, and Clobbered",1958,5,4.4
"Comedy,Family","Danny's Fiancée",1957,7,8.3
"Comedy,Musical,Romance","Peach O'Reno",1931,201,6.7
"Animation,Comedy,Family","Mickey's Service Station",1935,525,7.2
"Sport","Major League Baseball Magazine",1988,8,5.5
"Western","The Peacemaker",1963,19,8.1
"Western","The Prodigal",1967,81,8.2
"Comedy,Western","The Cactus Switch",1961,30,7.1
"Drama","The Man Outside",1967,52,6.4
"Drama","The Ghost of Rosy Taylor",1918,34,6.9
"Action,Comedy,Crime","All Done with Mirrors",1968,136,8.3
"Adventure","Agent Joe Walker: Operation Far East",1966,131,6.0
"Drama","In the Shadow of the Eagles",1966,47,5.4
"Drama,Musical,Romance","Carmen (la de Triana)",1938,73,7.1
"Drama","Behind Closed Doors",1958,19,7.7
"War","Izhorskiy batalon",1972,10,6.6
"Action,Crime","Kommissar X - Drei blaue Panther",1968,76,5.7
"Comedy,Musical,Short","Swingtime in the Movies",1938,236,5.7
"Action,Adventure,Family","The Knight Who Came to Dinner",1956,23,7.7
"Action,Adventure,History","The World in His Arms",1952,1618,6.9
"Drama,Romance","B.F.'s Daughter",1948,534,6.2
"Drama","Chapter IV",1976,5,8.2
"Adventure,Drama,Sci-Fi","Gambit",1979,110,7.7
"Adventure","The Rival Queen",1956,7,4.9
"Crime,Drama,Thriller","Mr. Ricco",1975,448,5.8
"Action,Drama","Darbet shams",1978,144,6.5
"Comedy,Drama,Musical","The Sweetheart of Sigma Chi",1933,27,6.7
"Crime,Drama,Mystery","The Case of the Missing Button",1964,126,7.9
"Family,Fantasy,Romance","Sleeping Beauty",1955,20,7.0
"Drama,Romance","Phoenix",1947,59,7.1
"Comedy","Up in Smoke",1957,130,6.2
"Comedy","Ginger Rogers Comes to Tea",1971,24,7.6
"Comedy,Drama,Fantasy","The Imaginary Voyage",1926,143,6.7
"Drama","Now a Brief Word",1956,6,7.8
"Action,Music,Romance","Rose of the Rancho",1936,31,6.1
"Adventure","The Seven Tasks of Ali Baba",1962,27,5.3
"Comedy","Surprise at Throstlenest",2000,36,8.9
"Western","Sequoia",1954,17,8.4
"Comedy,Romance","Mia Trelli... Trelli Oikogeneia",1965,1077,7.7
"Drama,Family","Aysecik - Canim annem",1967,46,4.7
"Musical","Three Cheers for Love",1936,11,6.5
"Drama,History,War","El rayo del sur",1943,6,6.5
"Adventure,Drama,Family","The Claws of Axos: Episode One",1971,300,7.2
"Comedy","The Expectant Father",1963,8,7.1
"Action","Pistoleros famosos II",1986,5,6.2
"Comedy","Der Datterich",1963,23,9.6
"Animation,Comedy,Family","Henpecked Hoboes",1946,289,6.8
"Crime,Drama,Romance","Double Indemnity",1973,505,4.6
"Comedy,Music","Elvis Presley, Carol Burnett, Lena Horne, Jackie Robinson, Sugar Ray Robinson, Don Budge, Will Jordan, Arthur Worsley",1957,9,9.1
"Drama,Horror,Sci-Fi","The Food",1955,25,6.9
"Family","Derevnya Utka. Skazka.",1977,50,7.4
"Comedy,Drama","The Brady 500",1990,24,6.5
"Action","Kogarashi Monjirô",1972,27,6.6
"Action,Music,Western","The Hawk of Powder River",1948,108,6.0
"Adventure,Drama","Desperate Search",1952,217,5.9
"Comedy","Kelly: The Golddigger",1959,7,7.3
"Comedy,Short","A Sammy in Siberia",1919,187,5.5
"Comedy,Romance","Lady Behave!",1937,144,6.3
"Adventure,Animation,Comedy","Mother-In-Law's Visit",1963,91,7.7
"Action,Adventure,Family","The Wanderer",1956,24,7.4
"Western","Jealousy",1957,69,7.0
"Animation,Comedy,Family","Tops in the Big Top",1945,62,7.1
"Action,Animation,Comedy","The Gold Bricks, Part 2",1965,8,6.5
"Adventure,Drama,Sci-Fi","Star One",1979,117,8.9
"Action,Adventure,Crime","The Black Book",1965,52,8.0
"Drama,Romance","Night Fliers",2009,21,7.8
"Drama","The Blue Swords",1949,6,7.2
"Drama,Short","The Devil's Own",1916,6,4.8
"Documentary,History,Short","Modern Mexico City",1942,24,6.6
"Drama","Takiaispallo",1970,57,6.1
"Western","Red River Shore",1953,12,7.2
"Comedy","Sju svarta Be-Hå",1954,14,5.4
"Drama,Sci-Fi","Before the Beginning",1955,17,6.6
"Comedy","The Hot Spell",1968,13,5.5
"Drama,Thriller","Die Mücke",1954,13,5.4
"Animation,Comedy,Family","The Three Caballeros",1944,10990,6.5
"Western","Barquero",1970,1325,6.4
"Comedy","Støv på hjernen",1961,580,6.7
"Drama","The Man Who Fell Apart",1964,8,6.9
"Comedy,Short","Dear Ol' Pal",1923,18,7.0
"Drama,Romance","The Prize",1985,54,7.6
"Western","The Dark Gate",1961,65,7.4
"Comedy","Kungliga Johansson",1934,21,5.0
"Comedy","Customs Officer Bom",1951,67,5.3
"Adventure,Animation,Fantasy","El caballero de la blanca luna",1980,8,6.0
"Drama,Romance","The World of Suzie Wong",1960,2020,7.0
"Adventure","The Barrier",1917,7,6.0
"Crime,Drama,Mystery","Cages",1980,11,6.1
"Crime,Drama,Thriller","Tombstone for a Derelict",1961,42,7.8
"Comedy,Short","Managed Money",1934,103,5.3
"Comedy","Les femmes collantes",1938,8,6.2
"Comedy","La ironía del dinero",1957,68,6.4
"Action,Adventure,Western","Los gavilanes negros",1966,8,5.5
"Adventure,Comedy,Music","Abbott and Costello Meet Captain Kidd",1952,1926,5.9
"Adventure,Crime","Waterfront",1954,73,8.3
"Drama,Romance","The Heiress",1949,12286,8.2
"Animation,Comedy,Family","Frank Duck Brings 'em Back Alive",1946,300,6.9
"Drama","The Signal Tower",1924,43,6.4
"Comedy,Drama","Emergency Wedding",1950,43,6.2
"Comedy,Drama,Musical","Aji Bas Shukriya",1958,11,6.2
"Crime,Drama,Mystery","The Jersey Bounce",1978,107,8.0
"Biography,Comedy,Musical","The Petty Girl",1950,215,6.1
"Animation","Kingdom of Gifts",1978,17,6.3
"Crime,Drama","Public Hero Number 1",1935,447,6.8
"Adventure,Drama,Family","A Challenge for Lassie",1964,10,7.4
"Comedy","Columbus Discovers Kraehwinkel",1954,12,6.8
"Comedy,Fantasy,Short","Going to Bed Under Difficulties",1900,546,6.7
"Animation,Comedy,Family","Rescue Dog",1947,312,6.7
"Western","The Man from Laramie",1955,8779,7.4
"Comedy,Drama,Musical","Il dottor Jeckill e mister Hide",1964,8,6.8
"Comedy,Drama","Lunch Hour",1963,148,6.6
"Comedy,Romance,Short","Le coup du berger",1956,709,7.2
"Comedy","Bunny Yeager's Nude Las Vegas",1964,19,6.4
"Comedy","The Fishing Trip",1960,5,5.8
"Adventure,Crime","The Last Frontier",1973,13,4.5
"Comedy","Come Back Little Sheba",1971,6,5.5
"Action,Adventure,Crime","Stepping Lively",1924,9,6.8
"Crime,Drama,Film-Noir","Dishonored Lady",1947,927,6.5
"Drama,Music","Punane viiul",1975,15,3.9
"Crime,Drama,Mystery","The Big Moody",1952,7,8.9
"Drama,Romance","The Beating",1981,52,6.9
"Adventure","The Lady and the Lion",1955,5,6.4
"Western","Juliet",1959,63,7.7
"Comedy,Sport","Kid Dynamite",1943,530,6.1
"Drama,History","In the Town of S",1967,55,7.1
"Drama","Johan Ulfstjerna",1936,7,6.6
"Drama,Romance","Salón de belleza",1951,11,6.4
"Animation,Short","Autumn Ships",1982,69,7.3
"Drama,Family,Romance","The Lost Ones: Part 1",1981,130,8.1
"Western","La Rubia",1960,20,8.1
"Comedy","The Craig Ferguson Story",1991,33,8.1
"Crime,Documentary,Drama","Tracing Audrey",2006,5,7.6
"Action,Crime,Drama","The Dark Hours",1974,26,8.2
"Comedy","Fifis, o aktypitos",1966,59,4.5
"Drama,Romance","Skvorets i Lira",1974,32,4.0
"Adventure,Crime","A Case for the Right",1973,10,5.0
"Comedy","Stately Home",1990,177,7.9
"Western","Rustlers of the Badlands",1945,7,7.4
"Crime,Drama","The Silk Noose",1948,252,6.3
"Biography,Western","Chief Crazy Horse",1955,458,6.2
"Comedy,Family","That Ol' Devil Jack Benny",1960,15,9.4
"Horror,Mystery,Thriller","Seven Dead in the Cat's Eye",1973,1139,5.9
"Action,Adventure,Crime","The Town That Wasn't",1957,77,8.3
"Comedy","The Indestructible",1959,8,6.2
"Western","Johnny Behan Falls in Love",1961,21,8.0
"Comedy,Western","Trail of the Vigilantes",1940,65,6.5
"Drama","La noche de los cien pájaros",1976,31,6.3
"Drama","A Town of Love and Hope",1959,414,7.1
"Action,Crime,Drama","Deadfall: Part 2",1968,47,8.3
"Action,Adventure,Music","Prairie Thunder",1937,64,5.4
"Comedy,Short","All Wet",1926,8,6.0
"Comedy,Crime","Les 3 font la paire",1957,75,6.7
"Drama,Short","The Song That Reached His Heart",1910,56,5.5
"Drama,Fantasy,Horror","Execution",1960,1841,7.3
"Documentary","From Two Men and a War",2005,16,7.6
"Drama","Lottie",1977,13,8.6
"Comedy","Rashomama",1983,61,8.9
"Western","The Pinkertons",1956,22,7.5
"Comedy,Family","Lucy's Last Birthday",1953,200,8.4
"Comedy","Lucy and Sid Caesar",1968,22,6.6
"Drama","Henry V Part 2: The Band of Brothers",1960,12,8.2
"Comedy,Family","Oliver",1968,18,8.2
"Drama,History","Jesus of Nazareth",1942,29,5.7
"Comedy,Romance,Short","Willie's Sister",1912,8,4.0
"Comedy,Short","Stick Around",1925,157,5.7
"Action,Crime,Drama","The Rough Diamonds",1963,79,7.4
"Crime,Drama,Mystery","Two in the Dark",1936,123,6.4
"Crime,Drama","Secrets of a Co-Ed",1942,35,5.5
"Comedy,Family","The Defiant One",1981,23,8.1
"Action,History,War","Bedari",1957,8,8.4
"Crime,Drama,Mystery","Foreign Intrigue",1956,765,5.9
"Crime,Film-Noir,Sport","The Set-Up",1949,7111,7.9
"Drama","The Return of Sophie Lang",1936,28,7.2
"Drama","The Golden Shanty",1959,7,8.1
"Action,Adventure,Drama","13 Rue Madeleine",1946,2557,6.9
"Documentary","The Fall of Saigon",1995,14,7.4
"Biography,Comedy,Drama","Funny Girl",1968,17312,7.4
"Animation,Comedy,Family","Operation Cold Feet",1956,34,6.7
"Western","Hero of the Town",1959,17,8.5
"Western","The Exiles",1962,36,7.4
"Drama,Fantasy,Horror","Episode #1.146",1967,29,7.3
"Drama","Les bateliers de la Volga",1936,5,6.6
"Western","Catch as Catch Can",1968,42,7.5
"Animation,Comedy,Family","Mickey's Pal Pluto",1933,275,6.7
"Music","Video Singles",1983,5,6.0
"Documentary","Purgatory",2013,8,7.5
"Comedy","The Great Buffalo Hunt",1964,19,7.3
"Western","Emily",1969,45,7.0
"Western","Sweet Revenge",1958,14,6.9
"Adventure,Sci-Fi","Deadly Amphibians",1967,26,6.7
"Horror,Sci-Fi","The Monster Maker",1944,844,4.7
"Documentary,Short","Siam to Korea",1931,9,4.9
"Drama,Fantasy,Horror","Episode #1.754",1969,12,7.3
"Comedy,Musical,Romance","So This Is Paris",1954,217,6.2
"Documentary","Hammer Stars: Christopher Lee",1994,11,7.5
"Drama,Romance,Short","Romeo Turns Bandit",1909,73,4.7
"Sci-Fi","Verdict in Orbit",1960,14,7.4
"Drama,History,War","Optimisticheskaya tragediya",1963,106,6.9
"Comedy","Bed and Breakdown",1988,32,7.6
"Adventure,Comedy,Family","The Magic Face",1970,21,7.4
"Drama","As You Desire Me",1932,550,6.4
"Drama","Aisha",1953,16,6.1
"Action,Adventure,Animation","Simon the Pieman/A Mad Mad Tea Party",1968,14,6.4
"Drama,Fantasy,Mystery","The Peter Hurkos Story: Part 1",1960,56,7.1
"Comedy","Házassággal kezdödik",1943,15,7.9
"Comedy,Family","Never Too Young",1973,98,7.2
"Animation,Comedy,Family","Twin Troubles/Pint Giant/De-Duck-Tives",1960,11,6.9
"Comedy","Lucy Is a Process Server",1964,32,8.4
"Drama,Fantasy,Music","Faust",1989,7,6.9
"Comedy,Family","Cafe Caper",1964,8,7.8
"Western","Young Man with a Gun",1956,79,8.0
"Action,Adventure,Western","Texas Wildcats",1939,33,5.4
"Comedy","The Shakespeare Paper",1956,18,8.6
"Drama,Romance,War","D-Day the Sixth of June",1956,1187,6.0
"Action","Sarmat",2004,25,5.6
"Action,Adventure","Souls at Sea",1937,618,6.9
"Comedy,Musical,Romance","Tea for Two",1950,1536,6.5
"Short","Popular Science",1935,6,6.2
"Action","Karate daisenso",1978,5,5.2
"Action,Adventure,Animation","Tears on a Red Sweater",1978,14,5.6
"Comedy,Drama,Family","The Petrified Forest",1955,44,8.2
"Comedy","Sailors",1964,68,4.0
"Drama","The Wolf of Wall Street",1929,29,6.4
"Comedy,Family,Short","Thundering Fleas",1926,267,5.8
"Drama,Musical,Romance","A Southern Maid",1934,11,7.3
"Animation,Family","Raggedy Ann and Raggedy Andy and the Camel with the Wrinkled Knees",1988,6,9.7
"Comedy,Western","Family Pride",1961,32,7.0
"Drama","Earthquake",1953,16,7.4
"Comedy","Sie können's mir glauben",1960,25,8.4
"Comedy","Hilmanpäivät",1954,167,6.9
"Western","Kansas Raiders",1950,900,6.2
"Adventure,Drama,Sci-Fi","Hostage",1979,95,6.8
"Documentary,Family,Short","Mysteries of the Deep",1959,58,8.3
"Short","Trifles of Importance",1940,43,6.6
"Adventure,Fantasy,Sci-Fi","From the Earth to the Moon",1958,1339,5.1
"Comedy","Third Time Lucky",1931,29,5.9
"Crime,Drama","The Color of Fury",1970,9,7.0
"Short","Attaque nocturne",1931,8,8.2
"Comedy,Family,Fantasy","My Turned-On Master",1967,118,8.2
"Comedy","The Great Woodsman",1959,17,7.6
"Crime,Mystery","Murder with Pictures",1936,252,5.7
"Documentary","Kevorkian",2010,313,7.6
"Western","Witness for the Defense",1957,17,8.2
"Romance,Short","A Pueblo Legend",1912,13,5.6
"Drama,Thriller","To Commit a Murder",1967,78,5.9
"Drama,Romance","Spotkania",1957,12,5.7
"Documentary,Short","Screen Snapshots Series 18, No. 9",1939,9,6.8
"Comedy","The Accident",1976,7,7.6
"Drama,Romance","Decameron Nights",1924,8,8.0
"Crime,Drama,Mystery","Public Affairs: DR-12",1968,34,7.2
"Comedy,War","Private Jones",1933,9,4.7
"Crime,Drama","Die Briefmarke",1967,9,7.4
"Comedy","The Passionate Sentry",1952,65,6.0
"Horror,Mystery,Thriller","Killer Nun",1979,1403,5.0
"Action,Adventure,Crime","Name, Date and Place",1961,55,7.6
"Crime,Drama","Money and the Woman",1940,63,6.5
"Drama,History","The Crucible",1967,71,7.7
"Comedy,Family","Lovey's Secret Admirer",1967,106,6.8
"Adventure,Animation,Comedy","The Hero",1963,82,7.4
"Biography,Documentary","Marilyn Monroe",1996,49,8.1
"Drama,War","A Generation",1955,2211,7.1
"Action,Adventure,Romance","Montana Belle",1952,358,5.7
"Drama,Romance","Sublime melodía",1956,8,5.1
"Drama,Horror","Darovi moje rodjake Marije",1969,25,7.6
"Action,Adventure,Drama","The Prescott Kid",1934,28,6.1
"Drama,Short,War","Le mariage de Fanny",1999,6,7.3
"Western","Ton of Tin",1968,10,8.9
"Crime,Drama,Mystery","The Helping Hand",1973,17,7.6
"Drama","Der König und sein Narr",1981,17,8.0
"Romance","The Love Thief",1960,20,6.8
"Action,Adventure,Drama","The Veils of Bagdad",1953,84,6.2
"Crime,Drama,Romance","The Guilty Generation",1931,228,6.7
"Animation,Short","Pierre and Cottage Cheese",1969,39,6.0
"Animation,Comedy,Family","Springtime for Thomas",1946,908,7.8
"Animation,Comedy,Family","Strife with Father",1950,168,6.4
"Crime,Drama","Taxi 13",1954,39,5.7
"Comedy,Romance","O, en så'n natt!",1937,51,5.8
"Action,Adventure,Fantasy","Bagdad",1949,308,5.4
"Action,Adventure,Comedy","In Fast Company",1924,10,5.6
"Family","The Everlasting Adventure Series",1991,5,4.6
"Comedy,Drama,Romance","Lover Come Back",1961,6465,7.2
"Drama,Music","Bob herceg",1941,24,6.5
"Animation,Comedy","Hajime ningen Gyatoruz",1974,7,7.0
"Comedy,Romance","Half Angel",1951,262,6.1
"Drama,Short","The Drive for a Life",1909,10,4.9
"Comedy,Music","Follies Girl",1943,24,5.1
"Drama,Family,Romance","Sylvia: Part 2",1981,198,8.5
"Drama","The Village by the Sea",1991,9,8.0
"Action,Adventure,Comedy","Flaming Guns",1932,20,6.7
"Animation","Manga Nippon mukashi banashi",1975,98,7.2
"Adventure","Ölüm çemberi",1970,5,6.4
"Crime,Drama,Short","Jack Pot",1940,70,6.5
"Musical,Romance,Thriller","An Evening in Paris",1967,263,6.9
"Action,Animation,Comedy","Format A4",2001,11,4.9
"Comedy,Drama","Cena de matrimonios",1962,13,6.2
"Adventure,Animation,Comedy","Red Hot Riding Hoods",1961,14,5.9
"Drama,Fantasy,Horror","Episode #1.889",1969,10,7.5
"Adventure,Comedy,Crime","Adventure in Manhattan",1936,533,6.6
"Western","Perilous Passage",1960,10,7.4
"Animation,Comedy,Family","High Steaks",1962,293,4.9
"Western","Heart of the West",1936,114,7.1
"Action,Music,Western","Wall Street Cowboy",1939,68,6.2
"Drama,Romance","Millie",1931,494,6.2
"Comedy","Are We Men or Corporals?",1955,402,7.1
"Action,Adventure,Western","Two of a Kind",1959,16,7.4
"Horror,Thriller","Man with Two Lives",1942,181,5.3
"Adventure,Drama,Family","The Mutants: Episode Two",1972,197,6.8
"Horror,Mystery,Thriller","Pieces",1982,7645,6.2
"Comedy,Music,Romance","Havana Rose",1951,9,7.0
"Comedy,Drama,Romance","A Ticket for Thaddeus",1956,46,7.6
"Biography,History,Western","With Davy Crockett at the Fall of the Alamo",1926,13,7.0
"Drama","The Millionaire",1955,410,8.0
"Comedy,Family,Short","The Big Show",1923,28,6.6
"Comedy,Family,Sci-Fi","I'd Rather Fight Than Switch",1965,21,8.1
"Comedy","Doris Leaves Today's World: Part 2",1970,14,7.9
"Documentary,Sci-Fi,Sport","The Great Dinosaur Hunt",1989,8,7.9
"Comedy","Maid for Each Other",1973,34,8.1
"Western","Bob Wire",1963,38,7.6
"Drama,Short","Panienki",1981,5,4.0
"Drama","Gonshchiki",1973,87,7.0
"Animation,Comedy,Family","Ghost Wanted",1940,101,6.4
"Documentary,Short","Pretoria to Durban",1952,17,6.1
"Drama,Romance","Bedre enn sitt rykte",1955,65,6.2
"Western","Church in the Town",1953,9,8.2
"Action,Crime,Drama","Code Two",1953,344,6.4
"Drama,Short","A Timely Interception",1913,47,6.7
"Western","Another Windmill to Go",1969,47,7.2
"Comedy,Fantasy","Today I Am a Ghost",1969,14,7.6
"News,Short,Sport","Basketball Headliners",1956,42,5.7
"Horror","The Vampire and the Ballerina",1960,397,5.6
"Comedy,Family,Fantasy","The Warlock in the Gray Flannel Suit",1971,135,7.0
"Biography,Drama","Episode #1.1",1976,23,8.5
"Sci-Fi","The Underwater City",1962,105,4.6
"Drama,Family,Musical","Ganwaar",1970,34,6.1
"Crime","Silbergraue Augen",2003,24,8.0
"Comedy","The Old Folks at Home",1986,8,6.5
"Drama,History","Rainha Depois de Morta Inês de Castro",1910,14,5.2
"Crime,Drama","Invitation to a Murder",1959,5,7.8
"Comedy,Musical,Western","Challenge of the Range",1949,20,7.0
"Animation,Comedy,Short","Lady and the Lamp",1979,286,5.9
"Horror","Malatesta's Carnival of Blood",1973,471,5.7
"Comedy,Short","The Big Idea",1924,13,4.8
"Comedy,Family","The Case of the Hooterville Refund Fraud",1970,50,8.5
"Drama","Guttersnipes",1974,326,6.4
"Comedy","Why Girls Leave Home",1965,17,7.5
"Drama,Horror,Thriller","The Phantom of Hollywood",1974,213,5.9
"Animation,Comedy,Family","Up in the Air Squares",1966,10,6.8
"Action,Crime,Drama","The Reluctant Revolution",1966,73,7.0
"Comedy,Western","Sir Richard of Wretched",1966,14,6.4
"Biography,Documentary","Robert F. Kennedy: A Memoir",1998,13,7.7
"Drama","Eleven Years and One Day",1963,13,5.8
"Comedy,Family,Sci-Fi","Uncle Martin's Broadcast",1964,29,7.0
"Drama,Family","Mixed Company",1974,151,5.9
"Comedy,Family","Christmas Tree Lot",1957,26,7.7
"Comedy,Musical","Las leandras",1969,50,6.2
"Drama","Thru Different Eyes",1942,33,6.0
"Comedy,Short","The Host",1923,6,3.3
"Drama,Romance","Poyedinok",1957,18,6.8
"Comedy","Dear Sexy Knickers...",1973,175,8.3
"Drama","All Soul's Day",1961,64,6.7
"Action,Adventure,Music","South of Santa Fe",1942,77,6.4
"Animation,Comedy,Family","False Hare",1964,296,6.9
"Drama,Music","Song of Stockholm",1947,27,6.0
"Crime,Drama,Sci-Fi","Conquest",1982,21,5.6
"Comedy","An English Tea",1957,13,9.1
"Drama,History","Palm Sunday",1969,6,6.8
"Comedy","The Acrobat",1976,101,6.6
"Crime,Documentary","Chief Suspect",2006,44,7.4
"Western","Burn the Town Down",1959,10,7.3
"Action,Comedy,Crime","False Witness",1968,108,7.5
"Biography,Documentary","Katharine Graham: Pillar of the Post",1997,47,7.9
"Comedy","Wenn Poldi ins Manöver zieht",1956,24,4.2
"Crime,Horror,Mystery","Der Zinker",1963,623,6.2
"Western","Revolt at Fort Laramie",1957,218,5.5
"Action,Animation,Comedy","Mission Oggy",1998,19,6.4
"Animation,Comedy,Family","Battery Up",1960,28,7.5
"Adventure,Animation,Comedy","It's a Jungle Out There",1981,10,2.9
"Comedy,Romance","Kettesben",1943,11,5.0
"Animation,Comedy,Family","Scrappily Married",1945,42,5.0
"Comedy,Romance,Short","A Wireless Lizzie",1926,9,5.2
"Drama,Fantasy,Horror","Episode #1.1057",1970,7,7.4
"Comedy","Bess, Is You a Woman Now?",1975,9,7.3
"Action,Adventure,War","The Adventures of Smilin' Jack",1943,313,5.9
"Comedy","Birdman of Shady Rest",1966,22,6.8
"Drama","Kokubetsu",2001,5,7.8
"Short","It Looks Like Rain",1945,53,6.0
"Animation","Lotsa Luck",1968,15,5.3
"Animation,Short","Mother Goose on the Loose",1942,31,6.4
"Drama,Romance,Sport","The Comeback",1930,14,6.5
"Adventure,Drama,Musical","Rose-Marie",1936,1113,6.8
"Drama","My Mother's Tears",1957,5,4.6
"Adventure,Crime,Drama","Mara Maru",1952,360,6.1
"Drama,Western","Circus World",1964,2162,6.2
"Western","Ride the Wind: Part 2",1966,52,7.6
"Crime,Drama,Romance","Great God Gold",1935,45,5.9
"Comedy","Bette sich wer kann",1958,9,8.8
"Drama","Los restos del naufragio",1978,43,7.2
"Reality-TV","Knobs Invades",2007,13,5.5
"Drama","Thrill of Youth",1932,5,3.0
"Drama","L'Arlésienne",1930,9,5.9
"Drama","Die reise nach Steiermark",1965,5,9.4
"Crime,Documentary","Deadly Matrimony",2004,49,7.7
"Animation,Comedy,Family","Horse Shoo",1965,15,4.5
"Comedy,Musical","Tanzende Sterne",1952,10,6.8
"Comedy,Drama","The Guardsman",1931,409,6.5
"Crime,Drama,Mystery","To Protect and Serve: Part 1",1977,110,7.7
"Comedy","Unmarried and Mother in Life",1969,56,4.2
"Comedy,Music","Alec Baldwin & Kim Basinger/UB40",1994,46,6.4
"Adventure","Call of the Sea",1930,10,6.4
"Action,Adventure,Drama","Web of Danger",1947,17,5.8
"Drama,Thriller","Flug in Gefahr",1964,139,7.4
"Drama,Musical","The Singing Fool",1928,198,6.3
"Drama","Sheepdog of the Hills",1941,14,5.5
"Animation,Comedy,Family","Greenpernt Oogle/The Mail Animal or Bullwinkle Stamps His Foot",1960,14,8.1
"Action,Adventure,Western","Fire on the Frontier",1959,19,8.0
"Drama","Aus Mangel an Beweisen",1971,7,6.6
"Adventure,Crime,Fantasy","Kilink: Strip and Kill",1967,87,6.8
"Drama","Mitt i natten i ett mörkt hus någonstans i världen",1973,186,8.7
"Drama","Rosa de Lima",1961,10,5.2
"Comedy,Western","Trail West to Fury",1958,62,7.6
"Comedy,Drama","Hemtrevnad i kasern",1941,9,4.7
"Action,Adventure,Romance","The Desert Trail",1935,767,5.4
"Drama","If War Comes Tomorrow",1938,38,6.3
"Comedy","Bolivar and the Roaring Twenties",1960,5,7.2
"Animation,Comedy,Family","Doing What's Fright",1959,17,5.3
"Animation,Comedy,Family","Kit for Cat",1948,638,7.6
"Drama","The Emerald",1959,9,6.3
"Action,Adventure,Drama","Trouble in Morocco",1937,15,7.3
"Documentary,Short","Today in Britain",1964,5,7.2
"Comedy","La chaste Suzanne",1937,12,5.6
"Comedy,Musical","Nobody's Baby",1937,98,6.1
"Horror,Short","Dr. Jekyll and Mr. Hyde",1908,30,6.0
"Short","Copenhagen by Night",1910,13,4.7
"Adventure,Animation,Comedy","Marion no hitomi",1984,6,1.0
"Adventure,Drama","The 3:13 Arrives at Noon",1969,11,8.8
"Comedy","Buck Privates",1928,19,7.7
"Drama,Romance","Red Dust",1932,3497,7.3
"Crime,Drama,Mystery","The Case of the Simple Simon",1964,119,8.1
"Drama,Mystery","Mysterious Crossing",1936,6,5.8
"Biography,Drama","Part II",1982,6,9.5
"Comedy,Short","The Cure",1917,2916,7.2
"Crime,Drama,Mystery","A Special Person",1973,19,7.0
"Comedy","Oranje Hein",1936,16,6.4
"Crime,Documentary","Room with a View",2009,34,6.8
"Adventure,Animation,Comedy","The Blue Ribbon",1963,17,6.4
"Action,Adventure","Kommissar X - Drei gelbe Katzen",1966,124,5.7
"Comedy","L'acrobate",1941,32,6.3
"Action,Mystery,Thriller","To Catch a Rat",1976,58,7.2
"Drama","Ministerpresidenten",1916,6,4.8
"Adventure,Romance","Ya v polnom poryadke",1989,8,6.1
"Comedy,Crime,Musical","Lentävä kalakukko",1953,181,5.6
"Drama,History,War","That Englishwoman: An Account of the Life of Emily Hobhouse",1990,20,5.1
"Comedy","Last Post and Pigeon",2000,30,8.5
"Comedy,Musical","Honeychile",1951,17,6.1
"Musical","Cavalcade of Song",1953,10,5.9
"Comedy,Family","Palm Springs, Here We Come",1969,9,6.7
"Animation,Comedy","The Porky Pig Show",1964,772,7.2
"Drama,War","Brandenburg Division",1960,8,6.5
"Comedy,Mystery","Inspector Hornleigh",1939,173,6.7
"Drama","Slucaj u tramvaju",1978,6,7.0
"Comedy,Fantasy,Musical","The Count of Monte Cristo",1954,53,7.4
"Mystery","The Crime of the Century",1933,37,6.8
"Adventure,Animation,Comedy","Yogi's Ark Lark",1972,39,6.4
"Comedy","Särkelä itte",1947,51,5.6
"Comedy,Musical","Jumping Jacks",1952,829,6.4
"Crime,Romance,Thriller","Red Rose",1980,143,6.3
"Comedy","Los celos de Cándida",1940,7,7.3
"Animation,Comedy,Short","The Egg-Yegg",1944,13,4.5
"Drama,War","The Ninth Circle",1960,345,7.8
"Action,Adventure,Drama","The Painting",1960,23,7.4
"Music,Western","Prairie Gunsmoke",1942,10,6.2
"Crime,Short","Scarface",1982,79,8.2
"Comedy","Don't Tell Me Any Stories",1964,9,7.8
"Mystery","Death Cruise",1974,216,5.7
"Western","Message to Fort Apache",1954,19,8.7
"Drama","Der Alte",1967,19,8.7
"Animation,Comedy,Family","A Bird in a Bonnet",1958,139,6.5
"Western","Tenderfoot",1954,25,8.5
"Action,Drama,Romance","The Riding Tornado",1932,9,6.4
"Animation,Comedy,Family","Bimbo's Express",1931,111,6.3
"Action,Crime,Drama","The Canada Run",1962,29,7.9
"Music,Short","Hana Zagorová: Kam bys sel",1972,7,9.1
"Comedy,Crime,Drama","Irish Stew",1996,38,8.2
"Action,Documentary","Modern Warriors",2002,95,7.1
"Comedy","El insólito embarazo de los Martínez",1974,14,3.4
"Drama","The Heath Is Green",1951,73,5.1
"Drama,Romance","The Pursuit of Happiness",1967,21,7.8
"Comedy,Music","The Sonny & Cher Nitty Gritty Hour",1970,92,7.9
"Comedy","I Am Curious Lemon",1969,13,7.5
"Drama,History","Rozina, the Love Child",1945,17,6.5
"Western","Something Pretty",1961,16,8.1
"Action,Comedy,Crime","Dance with Death",1961,14,7.2
"Documentary,Short","Motoring in Mexico",1943,41,6.2
"Comedy","Servisna stanica",1966,44,8.3
"Drama,Romance","The Fragment",1982,44,7.6
